"10.580907,52.274749"
"29.024291,40.992759"
"10.575993,52.280013"
"29.026008,40.991042"
"145.002408,-37.776214"
"-28.626412,38.537408"
"-4.244169,55.861932"
"145.015889,-37.77892"
"145.018008,-37.778975"
"29.02487,40.988888"
"-118.240206,34.216464"
"-28.627013,38.528184"
"174.927878,-41.205563"
"23.815699,38.000398"
"-117.722123,33.589519"
"-1.300265,51.806764"
"-1.308526,51.801676"
"-86.88602,39.635291"
"-2.44242,50.71104"
"-98.313598,29.502617"
"13.83632,46.595572"
"13.836642,46.595911"
"151.503509,-33.241921"
"-98.313256,29.502907"
"-123.355569,39.40974"
"-87.692898,41.820953"
"116.014456,-31.942112"
"-106.317043,31.703772"
"-4.246328,55.863058"
"145.02054,-37.938647"
"23.747098,37.892873"
"-86.806927,39.64162"
"34.170924,44.49825"
"-77.453763,37.5442"
"114.17078,22.317207"
"-86.851473,39.638323"
"26.142948,44.412727"
"2.36382,48.86751"
"138.573617,-35.092223"
"5.348315,60.372039"
"145.064743,-37.669758"
"15.921732,49.200467"
"-98.369898,40.934784"
"34.143083,44.484528"
"145.062983,-37.667414"
"-118.361249,33.821157"
"12.120152,55.257324"
"176.328421,-37.784003"
"-157.93079,21.647267"
"100.477182,13.802758"
"-94.981509,29.799993"
"145.089051,-37.650999"
"-113.43357,53.597342"
"-118.368384,33.813719"
"-157.927254,21.643104"
"-113.432934,53.596688"
"-118.368421,33.813714"
"39.707739,54.603743"
"176.325752,-37.783619"
"-74.0104,40.793453"
"146.355164,-41.195916"
"-157.927415,21.643747"
"146.355137,-41.19611"
"-157.921488,21.646509"
"2.376566,48.865368"
"15.861554,49.209635"
"176.322506,-37.782345"
"39.698458,54.597553"
"-157.923338,21.649097"
"176.32517,-37.785394"
"-157.91446,21.648476"
"-121.84163,37.39318"
"12.120983,55.25172"
"-117.71702,33.586602"
"176.328158,-37.786288"
"121.023679,14.424576"
"-121.841227,37.393908"
"-4.50367,55.834699"
"7.080522,43.617332"
"-121.840841,37.39436"
"-98.369902,40.934784"
"176.327096,-37.787077"
"-121.84082,37.393448"
"-121.841855,37.394552"
"-157.92855,21.651051"
"-117.714906,33.585585"
"-121.84546,37.396406"
"-4.497973,55.83055"
"2.375842,48.863321"
"12.119733,55.250228"
"145.059528,-37.670692"
"176.329022,-37.783999"
"7.085205,43.617176"
"-73.260773,40.734625"
"-73.260666,40.734356"
"7.075346,43.61812"
"138.571159,-34.9947"
"4.637297,52.38473"
"0.681761,47.421868"
"-99.174206,23.767633"
"7.078328,43.61626"
"26.046336,44.444853"
"0.949454,52.672833"
"-122.677594,47.096521"
"-81.559694,28.366523"
"26.046362,44.444854"
"39.782803,21.479787"
"-74.15853,40.371724"
"-83.08917,40.065284"
"7.080533,43.617608"
"-8.955687,53.671713"
"-93.17904,44.661144"
"-71.107324,42.430774"
"25.027902,60.314789"
"7.080517,43.620668"
"-77.727488,39.647107"
"151.237022,-33.925054"
"-77.728577,39.646068"
"150.720428,-33.580348"
"151.060376,-33.819029"
"0.258007,52.223692"
"153.042555,-27.483208"
"-80.2961,36.071307"
"171.04078,-44.73829"
"-117.286938,33.205933"
"153.39886,-28.007853"
"-2.433075,53.089694"
"150.24353,-31.872893"
"14.774391,50.873883"
"153.395104,-28.006839"
"150.695643,-33.725473"
"14.774176,50.877992"
"-81.714826,26.183669"
"144.791479,-37.875463"
"153.396134,-28.008838"
"151.152386,-33.73904"
"-117.290629,33.207831"
"7.123668,50.992748"
"9.189978,45.464442"
"1.967347,41.449401"
"7.473332,51.380112"
"1.97579,41.450527"
"150.873557,-34.43417"
"-7.336914,53.52462"
"-121.352604,38.40944"
"-0.306598,51.601016"
"-0.969385,45.940431"
"-121.349203,38.409373"
"1.971874,41.449514"
"151.050891,-33.738049"
"14.982873,51.169529"
"-119.885495,36.843499"
"17.008896,63.163811"
"-1.302341,50.929981"
"-1.306064,50.929088"
"-119.87946,36.837454"
"3.066258,51.092257"
"-119.876364,36.832912"
"106.828662,-6.300988"
